entry,exp,fib,short_k,wing_k,stop_ts
2012-11-05,2012-11-09,1.0,1380.0,1360.0,2012-11-08 15:59:00
2012-11-05,2012-11-09,1.118,1380.0,1360.0,2012-11-09 09:30:00
2013-08-26,2013-08-30,1.0,1625.0,1605.0,2013-08-28 09:35:00
2013-10-07,2013-10-11,1.0,1655.0,1635.0,2013-10-08 15:59:00
2013-10-07,2013-10-11,1.118,1655.0,1635.0,2013-10-09 10:59:00
2013-10-07,2013-10-11,1.236,1655.0,1635.0,2013-10-09 11:21:00
2014-01-21,2014-01-24,1.0,1805.0,1785.0,2014-01-24 10:41:00
2014-01-21,2014-01-24,1.118,1805.0,1785.0,2014-01-24 11:09:00
2014-01-21,2014-01-24,1.236,1805.0,1785.0,2014-01-24 14:03:00
2014-01-21,2014-01-24,1.382,1805.0,1785.0,2014-01-24 15:13:00
2014-01-21,2014-01-24,1.5,1805.0,1785.0,2014-01-24 15:59:00
2014-02-03,2014-02-07,1.0,1750.0,1725.0,2014-02-03 13:08:00
2014-02-03,2014-02-07,1.118,1750.0,1725.0,2014-02-03 13:40:00
2014-02-03,2014-02-07,1.236,1750.0,1725.0,2014-02-03 14:54:00
2014-03-10,2014-03-14,1.0,1840.0,1820.0,2014-03-13 15:09:00
2014-04-07,2014-04-11,1.0,1830.0,1805.0,2014-04-11 09:30:00
2014-04-07,2014-04-11,1.118,1830.0,1805.0,2014-04-11 09:30:00
2014-04-07,2014-04-11,1.236,1830.0,1805.0,2014-04-11 09:35:00
2014-04-07,2014-04-11,1.382,1830.0,1805.0,2014-04-11 14:49:00
2014-07-28,2014-08-01,1.0,1945.0,1925.0,2014-07-31 10:57:00
2014-07-28,2014-08-01,1.118,1945.0,1925.0,2014-07-31 11:52:00
2014-07-28,2014-08-01,1.236,1945.0,1925.0,2014-07-31 14:47:00
2014-07-28,2014-08-01,1.382,1945.0,1925.0,2014-07-31 15:20:00
2014-07-28,2014-08-01,1.5,1945.0,1925.0,2014-08-01 09:30:00
2014-09-22,2014-09-26,1.0,1975.0,1955.0,2014-09-25 10:21:00
2014-09-22,2014-09-26,1.118,1975.0,1955.0,2014-09-25 10:40:00
2014-09-22,2014-09-26,1.236,1975.0,1955.0,2014-09-25 10:46:00
2014-09-29,2014-10-03,1.0,1950.0,1925.0,2014-10-01 13:37:00
2014-09-29,2014-10-03,1.118,1950.0,1925.0,2014-10-01 14:59:00
2014-09-29,2014-10-03,1.236,1950.0,1925.0,2014-10-02 10:42:00
2014-09-29,2014-10-03,1.382,1950.0,1925.0,2014-10-02 11:30:00
2014-09-29,2014-10-03,1.5,1950.0,1925.0,2014-10-02 11:37:00
2014-10-06,2014-10-10,1.0,1930.0,1910.0,2014-10-08 10:04:00
2014-10-06,2014-10-10,1.118,1930.0,1910.0,2014-10-08 10:58:00
2014-10-06,2014-10-10,1.236,1930.0,1910.0,2014-10-10 10:14:00
2014-10-06,2014-10-10,1.382,1930.0,1910.0,2014-10-10 10:25:00
2014-10-06,2014-10-10,1.5,1930.0,1910.0,2014-10-10 15:47:00
2014-12-08,2014-12-12,1.0,2035.0,2010.0,2014-12-09 10:32:00
2014-12-08,2014-12-12,1.118,2035.0,2010.0,2014-12-10 14:24:00
2014-12-08,2014-12-12,1.236,2035.0,2010.0,2014-12-10 14:59:00
2014-12-08,2014-12-12,1.382,2035.0,2010.0,2014-12-12 10:59:00
2014-12-08,2014-12-12,1.5,2035.0,2010.0,2014-12-12 15:35:00
2015-01-05,2015-01-09,1.0,2015.0,1985.0,2015-01-06 11:19:00
2015-01-05,2015-01-09,1.118,2015.0,1985.0,2015-01-06 11:36:00
2015-01-05,2015-01-09,1.236,2015.0,1985.0,2015-01-06 12:02:00
2015-01-05,2015-01-09,1.382,2015.0,1985.0,2015-01-06 13:21:00
2015-01-26,2015-01-30,1.0,2000.0,1970.0,2015-01-28 15:43:00
2015-01-26,2015-01-30,1.118,2000.0,1970.0,2015-01-29 09:44:00
2015-01-26,2015-01-30,1.236,2000.0,1970.0,2015-01-29 10:41:00
2015-03-23,2015-03-27,1.0,2060.0,2025.0,2015-03-26 09:30:00
2015-03-23,2015-03-27,1.118,2060.0,2025.0,2015-03-26 09:30:00
2015-03-23,2015-03-27,1.236,2060.0,2025.0,2015-03-26 10:15:00
2015-06-29,2015-07-02,1.0,2060.0,2030.0,2015-06-29 15:45:00
2015-07-20,2015-07-24,1.0,2080.0,2055.0,2015-07-24 13:35:00
2015-07-20,2015-07-24,1.118,2080.0,2055.0,2015-07-24 14:15:00
2015-08-24,2015-08-28,1.0,1920.0,1885.0,2015-08-24 10:01:00
2015-08-24,2015-08-28,1.118,1920.0,1885.0,2015-08-24 10:01:00
2015-08-24,2015-08-28,1.236,1920.0,1885.0,2015-08-24 10:01:00
2015-08-24,2015-08-28,1.382,1920.0,1885.0,2015-08-24 10:01:00
2015-08-24,2015-08-28,1.5,1920.0,1885.0,2015-08-24 10:01:00
2015-08-31,2015-09-04,1.0,1930.0,1895.0,2015-09-01 09:30:00
2015-08-31,2015-09-04,1.118,1930.0,1895.0,2015-09-01 10:05:00
2015-08-31,2015-09-04,1.236,1930.0,1895.0,2015-09-01 13:13:00
2015-08-31,2015-09-04,1.382,1930.0,1895.0,2015-09-01 15:38:00
2015-08-31,2015-09-04,1.5,1930.0,1895.0,2015-09-01 15:43:00
2015-11-09,2015-11-13,1.0,2040.0,2005.0,2015-11-13 09:45:00
2015-11-09,2015-11-13,1.118,2040.0,2005.0,2015-11-13 10:07:00
2015-11-09,2015-11-13,1.236,2040.0,2005.0,2015-11-13 14:48:00
2015-12-07,2015-12-11,1.0,2035.0,1995.0,2015-12-11 09:30:00
2015-12-07,2015-12-11,1.118,2035.0,1995.0,2015-12-11 09:30:00
2015-12-07,2015-12-11,1.236,2035.0,1995.0,2015-12-11 12:06:00
2015-12-07,2015-12-11,1.382,2035.0,1995.0,2015-12-11 15:19:00
2016-01-04,2016-01-08,1.0,1985.0,1945.0,2016-01-06 09:30:00
2016-01-04,2016-01-08,1.118,1985.0,1945.0,2016-01-06 15:02:00
2016-01-04,2016-01-08,1.236,1985.0,1945.0,2016-01-07 09:30:00
2016-01-04,2016-01-08,1.382,1985.0,1945.0,2016-01-07 09:30:00
2016-01-04,2016-01-08,1.5,1985.0,1945.0,2016-01-07 09:32:00
2016-01-19,2016-01-22,1.0,1815.0,1770.0,2016-01-20 12:24:00
2016-02-01,2016-02-05,1.0,1870.0,1830.0,2016-02-03 10:37:00
2016-02-08,2016-02-12,1.0,1810.0,1770.0,2016-02-11 14:36:00
2016-10-31,2016-11-04,1.0,2085.0,2060.0,2016-11-04 09:31:00
2017-03-20,2017-03-24,1.0,2340.0,2320.0,2017-03-22 09:30:00
2017-03-20,2017-03-24,1.118,2340.0,2320.0,2017-03-22 10:11:00
2017-03-20,2017-03-24,1.236,2340.0,2320.0,2017-03-24 15:15:00
2017-05-15,2017-05-19,1.0,2355.0,2335.0,2017-05-17 15:49:00
2017-06-26,2017-06-30,1.0,2405.0,2380.0,2017-06-29 13:29:00
