entry,exp,short_k,L,stop_ts,es_cov
2012-06-04,2012-06-08,1235.0,1236.91,,True
2012-06-18,2012-06-22,1300.0,1300.62,,True
2012-07-02,2012-07-06,1320.0,1319.39,,True
2012-07-09,2012-07-13,1315.0,1313.05,,True
2012-07-23,2012-07-27,1320.0,1321.85,,True
2012-07-30,2012-08-03,1345.0,1343.79,,True
2012-08-06,2012-08-10,1350.0,1349.0,,True
2012-08-20,2012-08-24,1380.0,1379.36,,True
2012-08-27,2012-08-31,1375.0,1373.05,,True
2012-09-04,2012-09-07,1370.0,1369.85,,True
2012-09-10,2012-09-14,1400.0,1400.86,,True
2012-10-08,2012-10-12,1425.0,1425.27,,True
2012-10-22,2012-10-26,1395.0,1397.47,,True
2012-10-31,2012-11-02,1375.0,1376.47,,True
2012-11-05,2012-11-09,1380.0,1379.24,2012-11-08 15:59:00,True
2012-11-19,2012-11-23,1320.0,1322.49,,True
2012-11-26,2012-11-30,1370.0,1370.91,,True
2012-12-03,2012-12-07,1380.0,1378.22,,True
2012-12-10,2012-12-14,1380.0,1381.0,,True
2012-12-24,2012-12-28,1395.0,1393.96,,True
2012-12-31,2013-01-04,1365.0,1366.78,,True
2013-01-07,2013-01-11,1430.0,1428.38,,True
2013-01-22,2013-01-25,1450.0,1450.15,,True
2013-01-28,2013-02-01,1470.0,1468.11,,True
2013-02-04,2013-02-08,1480.0,1479.52,,True
2013-02-19,2013-02-22,1490.0,1488.44,,True
2013-02-25,2013-03-01,1485.0,1484.08,,True
2013-03-04,2013-03-08,1485.0,1486.02,,True
2013-03-18,2013-03-22,1530.0,1529.12,,True
2013-04-01,2013-04-05,1540.0,1538.72,,True
2013-04-08,2013-04-12,1525.0,1522.55,,True
2013-04-22,2013-04-26,1520.0,1521.75,,True
2013-04-29,2013-05-03,1550.0,1547.95,,True
2013-05-06,2013-05-10,1580.0,1579.93,,True
2013-05-20,2013-05-24,1635.0,1633.44,,True
2013-05-28,2013-05-31,1615.0,1614.31,,True
2013-06-10,2013-06-14,1605.0,1606.62,,True
2013-07-01,2013-07-05,1565.0,1565.01,,True
2013-07-08,2013-07-12,1590.0,1591.6,,True
2013-07-22,2013-07-26,1655.0,1652.63,,True
2013-07-29,2013-08-02,1655.0,1653.38,,True
2013-08-05,2013-08-09,1670.0,1672.15,,True
2013-08-19,2013-08-23,1620.0,1618.68,,True
2013-08-26,2013-08-30,1625.0,1627.18,2013-08-28 09:35:00,True
2013-09-03,2013-09-06,1595.0,1596.25,,True
2013-09-09,2013-09-13,1620.0,1618.79,,True
2013-09-23,2013-09-27,1675.0,1673.25,,True
2013-09-30,2013-10-04,1655.0,1655.97,,True
2013-10-07,2013-10-11,1655.0,1655.4,2013-10-08 15:59:00,True
2013-10-21,2013-10-25,1705.0,1706.66,,True
2013-10-28,2013-11-01,1725.0,1723.25,,True
2013-11-04,2013-11-08,1725.0,1726.12,,True
2013-11-18,2013-11-22,1765.0,1762.99,,True
2013-11-25,2013-11-29,1770.0,1770.11,,True
2013-12-02,2013-12-06,1775.0,1772.71,,True
2013-12-09,2013-12-13,1770.0,1772.15,,True
2013-12-23,2013-12-27,1785.0,1783.33,,True
2013-12-30,2014-01-03,1805.0,1807.01,,True
2014-01-06,2014-01-10,1800.0,1797.89,,True
2014-01-21,2014-01-24,1805.0,1806.01,2014-01-24 10:41:00,True
2014-01-27,2014-01-31,1755.0,1755.72,,True
2014-02-03,2014-02-07,1750.0,1748.47,2014-02-03 13:08:00,True
2014-02-10,2014-02-14,1760.0,1761.04,,True
2014-02-24,2014-02-28,1800.0,1800.29,,True
2014-03-03,2014-03-07,1825.0,1823.79,,True
2014-03-10,2014-03-14,1840.0,1841.42,2014-03-13 15:09:00,True
2014-03-24,2014-03-28,1830.0,1829.05,,True
2014-03-31,2014-04-04,1820.0,1820.41,,True
2014-04-07,2014-04-11,1830.0,1827.7,2014-04-11 09:30:00,True
2014-04-21,2014-04-25,1825.0,1824.9,,True
2014-04-28,2014-05-02,1825.0,1824.51,,True
2014-05-05,2014-05-09,1840.0,1842.12,,True
2014-05-19,2014-05-23,1840.0,1839.43,,True
2014-05-27,2014-05-30,1860.0,1862.48,,True
2014-06-09,2014-06-13,1915.0,1912.68,,True
2014-06-30,2014-07-03,1925.0,1925.83,,True
2014-07-07,2014-07-11,1950.0,1950.86,,True
2014-07-21,2014-07-25,1945.0,1944.22,,True
2014-07-28,2014-08-01,1945.0,1944.94,2014-07-31 10:57:00,True
2014-08-04,2014-08-08,1890.0,1889.24,,True
2014-08-18,2014-08-22,1920.0,1919.02,,True
2014-08-25,2014-08-29,1950.0,1952.09,,True
2014-09-02,2014-09-05,1970.0,1968.47,,True
2014-09-08,2014-09-12,1975.0,1973.8,,True
2014-09-22,2014-09-26,1975.0,1976.43,2014-09-25 10:21:00,True
2014-09-29,2014-10-03,1950.0,1948.13,2014-10-01 13:37:00,True
2014-10-06,2014-10-10,1930.0,1931.44,2014-10-08 10:04:00,True
2014-10-20,2014-10-24,1845.0,1844.03,,True
2014-10-27,2014-10-31,1920.0,1918.97,,True
2014-11-03,2014-11-07,1970.0,1970.93,,True
2014-11-10,2014-11-14,1985.0,1985.79,,True
2014-11-24,2014-11-28,2020.0,2020.02,,True
2014-12-01,2014-12-05,2025.0,2026.31,,True
2014-12-08,2014-12-12,2035.0,2034.93,2014-12-09 10:32:00,True
2014-12-22,2014-12-26,2025.0,2023.39,,True
2014-12-29,2015-01-02,2045.0,2043.21,,True
2015-01-05,2015-01-09,2015.0,2012.5,2015-01-06 11:19:00,True
2015-01-20,2015-01-23,1970.0,1970.33,,True
2015-01-26,2015-01-30,2000.0,2001.94,2015-01-28 15:43:00,True
2015-02-02,2015-02-06,1945.0,1943.78,,True
2015-02-09,2015-02-13,2000.0,2001.38,,True
2015-02-23,2015-02-27,2060.0,2058.21,,True
2015-03-02,2015-03-06,2055.0,2054.95,,True
2015-03-09,2015-03-13,2020.0,2021.66,,True
2015-03-23,2015-03-27,2060.0,2058.1,2015-03-26 09:30:00,True
2015-03-30,2015-04-02,2010.0,2009.64,,True
2015-04-06,2015-04-10,2015.0,2016.35,,True
2015-04-20,2015-04-24,2030.0,2031.66,,True
2015-04-27,2015-05-01,2070.0,2068.87,,True
2015-05-04,2015-05-08,2060.0,2059.5,,True
2015-05-18,2015-05-22,2075.0,2074.41,,True
2015-05-26,2015-05-29,2080.0,2080.14,,True
2015-06-01,2015-06-05,2065.0,2062.82,,True
2015-06-08,2015-06-12,2050.0,2048.85,,True
2015-06-22,2015-06-26,2065.0,2065.36,,True
2015-06-29,2015-07-02,2060.0,2057.58,2015-06-29 15:45:00,True
2015-07-06,2015-07-10,2035.0,2032.78,,True
