week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2020-05-01,2020-04-27,2020-05-01,2690.0,2640.0,1.7,2830.71,0.0,167.36,264,0.051728392450488866
2020-05-08,2020-05-04,2020-05-08,2685.0,2635.0,5.200000000000001,2929.8,0.0,517.3600000000001,24,0.051474718356878675
2020-05-15,2020-05-11,2020-05-15,2790.0,2740.0,3.2,2863.7,0.0,317.36,139,0.047716567683801
2020-05-22,2020-05-18,2020-05-22,2725.0,2675.0,0.8,2955.45,0.0,77.36,166,0.048433844327268855
2020-05-29,2020-05-26,2020-05-29,2820.0,2770.0,0.35,3044.31,0.0,32.36,318,0.045830584174998676
2020-06-05,2020-06-01,2020-06-05,2910.0,2860.0,3.0,3193.93,0.0,297.36,40,0.044118371650718864
2020-06-12,2020-06-08,2020-06-12,3060.0,3010.0,1.65,3041.31,18.690000000000055,-1706.6400000000058,177,0.04193266602586777
2020-06-19,2020-06-15,2020-06-19,2905.0,2855.0,8.100000000000001,3097.74,0.0,807.3600000000001,3,0.044819502122440645
2020-06-26,2020-06-22,2020-06-26,2960.0,2910.0,3.999999999999999,3009.05,0.0,397.3599999999999,175,0.044464674246386005
2020-07-03,2020-06-29,2020-07-02,2870.0,2820.0,3.2,3130.01,0.0,317.36,41,0.046210598029278405
2020-07-10,2020-07-06,2020-07-10,2995.0,2945.0,0.8,3185.04,0.0,77.36,330,0.04313404749505599
2020-07-17,2020-07-13,2020-07-17,3055.0,3005.0,1.75,3224.73,0.0,172.36,124,0.04082837264210182
2020-07-24,2020-07-20,2020-07-24,3095.0,3045.0,2.15,3215.63,0.0,212.36,359,0.040229724659118754
2020-07-31,2020-07-27,2020-07-31,3090.0,3040.0,1.75,3271.12,0.0,172.36,148,0.03906854955327575
2020-08-07,2020-08-03,2020-08-07,3150.0,3100.0,1.4499999999999997,3351.28,0.0,142.35999999999999,182,0.03702707329599644
2020-08-14,2020-08-10,2020-08-14,3235.0,3185.0,1.4000000000000001,3372.85,0.0,137.36,149,0.03469719032727799
2020-08-21,2020-08-17,2020-08-21,3265.0,3215.0,1.2499999999999998,3397.16,0.0,122.35999999999997,152,0.03197592540433162
2020-08-28,2020-08-24,2020-08-28,3290.0,3240.0,0.9500000000000002,3508.01,0.0,92.36000000000001,419,0.03154399557277251
2020-09-04,2020-08-31,2020-09-04,3405.0,3355.0,2.7,3426.96,0.0,267.36,142,0.02936422644177189
