week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2020-05-01,2020-04-27,2020-05-01,2760.0,2710.0,5.0,2830.71,0.0,497.36,44,0.027052179614627983
2020-05-08,2020-05-04,2020-05-08,2755.0,2705.0,10.8,2929.8,0.0,1077.36,15,0.0267459400645068
2020-05-15,2020-05-11,2020-05-15,2850.0,2800.0,7.300000000000001,2863.7,0.0,727.3600000000001,20,0.027237354085603172
2020-05-22,2020-05-18,2020-05-22,2785.0,2735.0,2.3,2955.45,0.0,227.35999999999999,156,0.027481928973006886
2020-05-29,2020-05-26,2020-05-29,2875.0,2825.0,1.3,3044.31,0.0,127.36,89,0.027220896986922406
2020-06-05,2020-06-01,2020-06-05,2960.0,2910.0,5.8999999999999995,3193.93,0.0,587.36,16,0.02769428868939101
2020-06-12,2020-06-08,2020-06-12,3105.0,3055.0,3.6,3041.31,50.0,-4642.64,255,0.027843440526248178
2020-06-19,2020-06-15,2020-06-19,2960.0,2910.0,13.2,3097.74,0.0,1317.36,3,0.026735189770197693
2020-06-26,2020-06-22,2020-06-26,3015.0,2965.0,7.5,3009.05,5.949999999999818,152.3600000000182,3,0.026709794882720884
2020-07-03,2020-06-29,2020-07-02,2925.0,2875.0,6.7,3130.01,0.0,667.36,26,0.027932403914856907
2020-07-10,2020-07-06,2020-07-10,3045.0,2995.0,1.9000000000000004,3185.04,0.0,187.36000000000004,208,0.027159657636876628
2020-07-17,2020-07-13,2020-07-17,3100.0,3050.0,3.4000000000000004,3224.73,0.0,337.36000000000007,62,0.026699821666289893
2020-07-24,2020-07-20,2020-07-24,3135.0,3085.0,4.200000000000001,3215.63,0.0,417.3600000000001,159,0.027825585397847265
2020-07-31,2020-07-27,2020-07-31,3130.0,3080.0,3.7,3271.12,0.0,367.36,12,0.0266293074762955
2020-08-14,2020-08-10,2020-08-14,3260.0,3210.0,2.1999999999999997,3372.85,0.0,217.35999999999999,136,0.027237354085603172
2020-08-21,2020-08-17,2020-08-21,3280.0,3230.0,1.65,3397.16,0.0,162.36,445,0.027528647879389807
2020-08-28,2020-08-24,2020-08-28,3305.0,3255.0,1.35,3508.01,0.0,132.36,306,0.027128542665049587
2020-09-04,2020-08-31,2020-09-04,3410.0,3360.0,3.0000000000000004,3426.96,0.0,297.36000000000007,7,0.02793891693581267
2020-09-11,2020-09-08,2020-09-11,3335.0,3285.0,12.899999999999999,3340.97,0.0,1287.3599999999997,10,0.02683427877769219
2020-09-18,2020-09-14,2020-09-18,3250.0,3200.0,2.8999999999999995,3319.47,0.0,287.35999999999996,56,0.027228619233336367
2020-09-25,2020-09-21,2020-09-25,3230.0,3180.0,12.5,3298.46,0.0,1247.36,11,0.026953097934308733
2020-10-02,2020-09-28,2020-10-02,3210.0,3160.0,3.1999999999999997,3348.42,0.0,317.36,49,0.026818575941499983
2020-10-09,2020-10-05,2020-10-09,3255.0,3205.0,3.35,3477.14,0.0,332.36,64,0.02789972584084436
2020-10-16,2020-10-12,2020-10-16,3380.0,3330.0,1.55,3483.81,0.0,152.36,150,0.027936752618531287
2020-10-23,2020-10-19,2020-10-23,3390.0,3340.0,3.7,3465.39,0.0,367.36,41,0.02692741567421873
