week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2012-06-08,2012-06-04,2012-06-08,1245.0,1195.0,3.2499999999999996,1325.6600341796875,0.0,322.35999999999996,129,0.025852115780923703
2012-06-22,2012-06-18,2012-06-22,1305.0,1255.0,2.5500000000000003,1335.02001953125,0.0,252.36000000000004,22,0.028179058401197395
2012-07-06,2012-07-02,2012-07-06,1325.0,1275.0,0.7,1354.6800537109375,0.0,67.36,50,0.027280226439814623
2012-07-13,2012-07-09,2012-07-13,1320.0,1270.0,1.95,1356.780029296875,0.0,192.36,164,0.025600180364313205
2012-07-27,2012-07-23,2012-07-27,1325.0,1275.0,5.6000000000000005,1385.969970703125,0.0,557.36,47,0.027637145902175517
2012-08-03,2012-07-30,2012-08-03,1350.0,1300.0,1.6999999999999997,1390.989990234375,0.0,167.35999999999999,52,0.02595292211481094
2012-08-10,2012-08-06,2012-08-10,1355.0,1305.0,0.5,1405.8699951171875,0.0,47.36,61,0.025873651490698982
2012-08-24,2012-08-20,2012-08-24,1380.0,1330.0,0.5499999999999999,1411.1300048828125,0.0,52.35999999999999,361,0.02690812973146615
2012-08-31,2012-08-27,2012-08-31,1370.0,1320.0,0.39999999999999997,1406.5799560546875,0.0,37.36,319,0.029146857299110544
2012-09-07,2012-09-04,2012-09-07,1370.0,1320.0,0.8499999999999999,1437.9200439453125,0.0,82.35999999999999,1,0.026006311192781763
2012-09-14,2012-09-10,2012-09-14,1400.0,1350.0,0.8999999999999999,1465.77001953125,0.0,87.35999999999999,288,0.02637145514799896
2012-10-05,2012-10-01,2012-10-05,1400.0,1350.0,0.5,1460.9300537109375,0.0,47.36,4,0.02822995044301506
2012-10-12,2012-10-08,2012-10-12,1420.0,1370.0,0.7000000000000001,1428.5899658203125,0.0,67.36,99,0.028016436246875925
2012-10-26,2012-10-22,2012-10-26,1395.0,1345.0,1.35,1411.93994140625,0.0,132.36,107,0.026646810937549507
2012-11-02,2012-10-31,2012-11-02,1375.0,1325.0,0.35,1414.199951171875,0.0,32.36,52,0.02616254439934529
2012-11-09,2012-11-05,2012-11-09,1375.0,1325.0,2.45,1379.8499755859375,0.0,242.36000000000004,12,0.027718818077593632
2012-11-23,2012-11-19,2012-11-23,1325.0,1275.0,0.15,1409.1500244140625,0.0,12.36,27,0.025649325497523055
2012-11-30,2012-11-26,2012-11-30,1370.0,1320.0,1.3,1416.1800537109375,0.0,127.36,94,0.02778272273056337
2012-12-07,2012-12-03,2012-12-07,1375.0,1325.0,0.75,1418.0699462890625,0.0,72.36,2,0.029078261343273328
2012-12-14,2012-12-10,2012-12-14,1380.0,1330.0,1.05,1413.5799560546875,0.0,102.36,195,0.026846310641225758
2012-12-28,2012-12-24,2012-12-28,1390.0,1340.0,1.7000000000000002,1402.4300537109375,0.0,167.36000000000004,50,0.028073994845759002
2013-01-04,2012-12-31,2013-01-04,1365.0,1315.0,3.4499999999999997,1466.469970703125,0.0,342.36,62,0.02668942640803704
2013-01-11,2013-01-07,2013-01-11,1425.0,1375.0,0.7,1472.050048828125,0.0,67.36,27,0.028278772516045103
2013-01-25,2013-01-22,2013-01-25,1445.0,1395.0,0.15,1502.9599609375,0.0,12.36,127,0.027577747350151335
2013-02-01,2013-01-28,2013-02-01,1460.0,1410.0,0.2,1513.1700439453125,0.0,17.36,45,0.028583569791641623
2013-02-08,2013-02-04,2013-02-08,1470.0,1420.0,0.39999999999999997,1517.9300537109375,0.0,37.36,13,0.0285295391076832
2013-02-22,2013-02-19,2013-02-22,1480.0,1430.0,0.19999999999999998,1515.5999755859375,0.0,17.36,123,0.02618127375479112
2013-03-01,2013-02-25,2013-03-01,1475.0,1425.0,0.6,1518.199951171875,0.0,57.36,165,0.02678805505406621
