week_end,entry,struct,implied,med52,p75,short_k,wing_k,credit,pnl
2012-06-08,2012-06-04,t10,0.11200000000000003,,,2375.0,2325.0,1.0,97.36
2012-06-22,2012-06-18,t10,0.05,,,2475.0,2425.0,1.1999999999999997,117.35999999999997
2012-06-22,2012-06-18,t1236,0.05,,,2450.0,2400.0,0.4500000000000002,42.360000000000014
2012-06-29,2012-06-25,t10,0.11800000000000005,,,2500.0,2450.0,3.6999999999999997,367.36
2012-06-29,2012-06-25,t1236,0.11800000000000005,,,2475.0,2425.0,0.40000000000000036,37.360000000000035
2012-07-13,2012-07-09,t10,0.041999999999999996,,,2525.0,2475.0,0.9999999999999999,97.35999999999999
2012-07-27,2012-07-23,t10,0.2260000000000001,,,2525.0,2475.0,8.100000000000001,807.3600000000001
2012-07-27,2012-07-23,t1236,0.2260000000000001,,,2500.0,2450.0,4.699999999999999,467.35999999999996
2012-08-03,2012-07-30,t10,0.031999999999999994,,,2550.0,2500.0,0.8,77.36
2012-08-03,2012-07-30,t1236,0.031999999999999994,,,2525.0,2475.0,0.19999999999999996,17.359999999999996
2012-08-24,2012-08-20,t10,0.027999999999999997,,,2700.0,2650.0,0.6,57.36
2012-08-31,2012-08-27,t10,0.027000000000000003,,,2700.0,2650.0,0.6500000000000001,62.360000000000014
2012-08-31,2012-08-27,t1236,0.027000000000000003,,,2675.0,2625.0,0.050000000000000044,2.3600000000000043
2012-09-14,2012-09-10,t10,0.044999999999999984,,,2750.0,2700.0,1.15,112.35999999999999
2012-09-14,2012-09-10,t1236,0.044999999999999984,,,2725.0,2675.0,0.4,37.36
2012-09-28,2012-09-24,t10,0.03199999999999999,,,2775.0,2725.0,0.7999999999999998,77.35999999999999
2012-09-28,2012-09-24,t1236,0.03199999999999999,,,2775.0,2725.0,0.7999999999999998,77.35999999999999
2012-10-12,2012-10-08,t10,0.041999999999999996,,,2725.0,2675.0,1.15,-373.6507421875
2012-10-12,2012-10-08,t1236,0.041999999999999996,,,2725.0,2675.0,1.15,-373.6507421875
2012-10-26,2012-10-22,t10,0.068,,,2600.0,2550.0,2.2499999999999996,222.35999999999996
2012-10-26,2012-10-22,t1236,0.068,,,2575.0,2525.0,1.15,112.35999999999999
2012-11-02,2012-10-31,t10,0.019999999999999997,,,2575.0,2525.0,0.15000000000000002,12.360000000000001
2012-11-02,2012-10-31,t1236,0.019999999999999997,,,2575.0,2525.0,0.15000000000000002,12.360000000000001
2012-11-30,2012-11-26,t10,0.04800000000000001,,,2550.0,2500.0,0.95,92.36
2012-11-30,2012-11-26,t1236,0.04800000000000001,,,2525.0,2475.0,0.3,27.36
2012-12-07,2012-12-03,t10,0.07400000000000001,,,2600.0,2550.0,0.6000000000000001,57.36000000000001
2012-12-14,2012-12-10,t10,0.024000000000000004,,,2550.0,2500.0,0.6000000000000001,57.36000000000001
2012-12-28,2012-12-24,t10,0.04400000000000002,,,2575.0,2525.0,0.6499999999999999,62.359999999999985
2013-01-04,2012-12-31,t10,0.08,,,2525.0,2475.0,1.8999999999999995,187.35999999999996
2013-01-04,2012-12-31,t1236,0.08,,,2500.0,2450.0,0.6499999999999999,62.359999999999985
2013-01-11,2013-01-07,t10,0.021999999999999992,,,2625.0,2575.0,0.04999999999999993,2.3599999999999928
2013-01-11,2013-01-07,t1236,0.021999999999999992,,,2625.0,2575.0,0.04999999999999993,2.3599999999999928
2013-01-25,2013-01-22,t10,0.023999999999999994,,,2650.0,2600.0,0.3999999999999999,37.35999999999999
2013-01-25,2013-01-22,t1236,0.023999999999999994,,,2650.0,2600.0,0.3999999999999999,37.35999999999999
2013-02-08,2013-02-04,t10,0.023999999999999994,0.041999999999999996,0.063,2675.0,2650.0,0.15000000000000002,12.360000000000001
2013-02-08,2013-02-04,t1236,0.023999999999999994,0.041999999999999996,0.063,2675.0,2625.0,0.4,37.36
2013-02-22,2013-02-19,t10,0.015,0.039999999999999994,0.06050000000000001,2700.0,2650.0,0.44999999999999996,42.35999999999999
2013-02-22,2013-02-19,t1236,0.015,0.039999999999999994,0.06050000000000001,2675.0,2625.0,0.15000000000000002,12.360000000000001
2013-03-01,2013-02-25,t10,0.028000000000000004,0.03799999999999999,0.05800000000000001,2675.0,2625.0,0.65,62.36
2013-03-08,2013-03-04,t10,0.05899999999999998,0.03499999999999999,0.05600000000000001,2675.0,2625.0,1.7499999999999998,172.35999999999999
2013-03-08,2013-03-04,t1236,0.05899999999999998,0.03499999999999999,0.05600000000000001,2650.0,2625.0,0.30000000000000004,27.360000000000003
2013-03-22,2013-03-18,t10,0.06,0.03799999999999999,0.058499999999999996,2725.0,2675.0,1.5000000000000002,147.36000000000004
2013-03-22,2013-03-18,t1236,0.06,0.03799999999999999,0.058499999999999996,2700.0,2675.0,0.10000000000000009,7.360000000000008
2013-03-29,2013-03-25,t1236,0.014000000000000004,0.039999999999999994,0.05924999999999998,2725.0,2675.0,0.35,32.36
2013-04-05,2013-04-01,t10,0.02,0.03799999999999999,0.05899999999999998,2750.0,2700.0,0.15000000000000013,12.360000000000014
2013-04-12,2013-04-08,t10,0.04800000000000001,0.03499999999999999,0.05874999999999999,2700.0,2650.0,1.1500000000000001,112.36000000000001
2013-05-03,2013-04-29,t10,0.076,0.038,0.05825,2775.0,2725.0,0.9000000000000001,87.36000000000001
2013-05-03,2013-04-29,t1236,0.076,0.038,0.05825,2750.0,2700.0,0.5000000000000001,47.360000000000014
2013-05-10,2013-05-06,t10,0.03499999999999999,0.038000000000000006,0.05899999999999998,2875.0,2825.0,0.55,52.36000000000001
2013-05-24,2013-05-20,t10,0.028000000000000008,0.038,0.05874999999999999,2950.0,2900.0,0.6000000000000001,57.36000000000001
2013-05-24,2013-05-20,t1236,0.028000000000000008,0.038,0.05874999999999999,2950.0,2900.0,0.6000000000000001,57.36000000000001
2013-06-14,2013-06-10,t10,0.05199999999999999,0.03499999999999999,0.05800000000000001,2925.0,2875.0,1.1500000000000001,112.36000000000001
2013-06-14,2013-06-10,t1236,0.05199999999999999,0.03499999999999999,0.05800000000000001,2900.0,2850.0,0.3999999999999999,37.35999999999999
2013-07-12,2013-07-08,t10,0.02999999999999998,0.03499999999999999,0.055,2885.0,2825.0,0.09999999999999998,7.359999999999998
2013-07-26,2013-07-22,t10,0.055999999999999994,0.03349999999999999,0.05349999999999999,2975.0,2925.0,0.55,52.36000000000001
2013-08-02,2013-07-29,t10,0.046,0.03499999999999999,0.055999999999999994,3000.0,2950.0,0.5999999999999999,57.359999999999985
2013-08-09,2013-08-05,t10,0.045,0.03649999999999999,0.05499999999999999,3075.0,3025.0,0.55,52.36000000000001
2013-08-23,2013-08-19,t10,0.034,0.03799999999999999,0.05399999999999999,3000.0,2950.0,0.6500000000000001,62.360000000000014
2013-08-30,2013-08-26,t10,0.049999999999999954,0.03649999999999999,0.05299999999999999,3050.0,3000.0,0.4999999999999999,47.359999999999985
2013-09-27,2013-09-23,t10,0.04500000000000002,0.036000000000000004,0.051,3150.0,3100.0,0.44999999999999996,42.35999999999999
2013-10-04,2013-09-30,t10,0.16000000000000014,0.036000000000000004,0.049999999999999975,3155.0,3110.0,3.8,377.36
2013-10-04,2013-09-30,t1236,0.16000000000000014,0.036000000000000004,0.049999999999999975,3140.0,3100.0,2.2,217.36000000000004
2013-10-11,2013-10-07,t10,0.13000000000000006,0.036000000000000004,0.050999999999999976,3170.0,3125.0,1.0,97.36
2013-11-01,2013-10-28,t10,0.060000000000000143,0.036000000000000004,0.050999999999999976,3300.0,3250.0,0.6000000000000001,57.36000000000001
2013-11-08,2013-11-04,t10,0.04699999999999999,0.036000000000000004,0.05399999999999999,3300.0,3250.0,0.9000000000000001,87.36000000000001
2013-11-22,2013-11-18,t10,0.04999999999999999,0.036000000000000004,0.050999999999999976,3350.0,3295.0,0.6500000000000001,62.360000000000014
2013-11-29,2013-11-25,t10,0.023,0.03799999999999999,0.05099999999999999,3350.0,3295.0,0.04999999999999982,2.359999999999982
2013-12-06,2013-12-02,t10,0.09000000000000004,0.03799999999999999,0.05099999999999999,3410.0,3360.0,0.8000000000000003,77.36000000000003
2014-01-03,2013-12-30,t10,0.03500000000000005,0.039999999999999945,0.05399999999999999,3495.0,3450.0,0.050000000000000044,2.3600000000000043
2014-01-10,2014-01-06,t10,0.06000000000000001,0.038000000000000006,0.05399999999999999,3450.0,3415.0,0.75,72.36
2014-01-10,2014-01-06,t1236,0.06000000000000001,0.038000000000000006,0.05399999999999999,3440.0,3400.0,0.5,47.36
2014-02-07,2014-02-03,t10,0.1450000000000001,0.04199999999999998,0.05750000000000001,3440.0,3390.0,2.5999999999999996,257.35999999999996
2014-02-07,2014-02-03,t1236,0.1450000000000001,0.04199999999999998,0.05750000000000001,3425.0,3375.0,1.5999999999999996,157.35999999999999
2014-02-14,2014-02-10,t10,0.06500000000000003,0.04199999999999998,0.05750000000000001,3475.0,3425.0,1.0500000000000003,102.36000000000003
2014-03-07,2014-03-03,t10,0.16,0.04199999999999998,0.05750000000000001,3625.0,3560.0,2.9000000000000004,287.36000000000007
2014-03-14,2014-03-10,t10,0.05700000000000001,0.04199999999999998,0.05824999999999998,3625.0,3575.0,0.3999999999999999,37.35999999999999
2014-03-28,2014-03-24,t1236,,0.04199999999999998,0.05849999999999999,3550.0,3500.0,1.5999999999999996,157.35999999999999
2014-04-11,2014-04-07,t10,,0.039999999999999945,0.05700000000000001,3450.0,3400.0,2.6000000000000005,-57.630234374999944
2014-04-11,2014-04-07,t1236,,0.039999999999999945,0.05700000000000001,3425.0,3375.0,1.3999999999999995,137.35999999999996
2014-04-25,2014-04-21,t10,0.08000000000000007,0.03899999999999998,0.0575,3435.0,3375.0,1.7000000000000002,167.36000000000004
2014-04-25,2014-04-21,t1236,0.08000000000000007,0.03899999999999998,0.0575,3410.0,3355.0,0.10000000000000009,7.360000000000008
2014-05-02,2014-04-28,t10,0.11999999999999993,0.03899999999999998,0.0575,3435.0,3375.0,1.8000000000000003,177.36000000000004
2014-05-02,2014-04-28,t1236,0.11999999999999993,0.03899999999999998,0.0575,3410.0,3355.0,0.25,22.36
2014-05-09,2014-05-05,t10,0.0700000000000001,0.04249999999999997,0.05924999999999998,3485.0,3425.0,1.25,122.36
2014-05-23,2014-05-19,t10,0.040000000000000036,0.04500000000000001,0.06,3490.0,3425.0,1.1,107.36000000000001
2014-05-23,2014-05-19,t1236,0.040000000000000036,0.04500000000000001,0.06,3465.0,3400.0,0.6500000000000001,62.360000000000014
2014-06-06,2014-06-02,t10,0.09499999999999993,0.04500000000000001,0.06,3640.0,3580.0,0.30000000000000004,27.360000000000003
2014-06-13,2014-06-09,t10,0.03500000000000001,0.04500000000000002,0.060000000000000046,3700.0,3640.0,0.75,72.36
2014-06-13,2014-06-09,t1236,0.03500000000000001,0.04500000000000002,0.060000000000000046,3675.0,3620.0,0.24999999999999994,22.359999999999992
2014-06-27,2014-06-23,t10,0.039999999999999994,0.04500000000000002,0.060000000000000046,3715.0,3655.0,0.1499999999999999,12.35999999999999
2014-07-04,2014-06-30,t10,0.010000000000000009,0.04500000000000001,0.060000000000000046,3755.0,3705.0,0.09999999999999998,7.359999999999998
2014-07-11,2014-07-07,t1236,,0.04250000000000002,0.060000000000000046,3815.0,3765.0,0.10000000000000009,7.360000000000008
2014-07-25,2014-07-21,t10,0.08999999999999986,0.045,0.06000000000000008,3855.0,3800.0,3.05,302.36
2014-07-25,2014-07-21,t1236,0.08999999999999986,0.045,0.06000000000000008,3835.0,3785.0,1.75,172.36
2014-08-01,2014-07-28,t10,0.1,0.04500000000000002,0.06250000000000008,3880.0,3825.0,2.45,209.35218750000004
2014-08-01,2014-07-28,t1236,0.1,0.04500000000000002,0.06250000000000008,3860.0,3810.0,1.2000000000000002,117.36000000000001
2014-08-08,2014-08-04,t10,0.0700000000000001,0.04500000000000002,0.06750000000000006,3790.0,3725.0,2.2500000000000004,222.36000000000007
2014-08-08,2014-08-04,t1236,0.0700000000000001,0.04500000000000002,0.06750000000000006,3775.0,3725.0,1.35,132.36
2014-08-22,2014-08-18,t1236,,0.04500000000000002,0.0700000000000001,3875.0,3825.0,0.44999999999999996,42.35999999999999
2014-09-05,2014-09-02,t10,0.085,0.04500000000000002,0.06875000000000009,4000.0,3945.0,0.7000000000000001,67.36
2014-09-12,2014-09-08,t10,0.03499999999999996,0.04550000000000001,0.0700000000000001,4005.0,3955.0,0.3999999999999999,37.35999999999999
2014-09-12,2014-09-08,t1236,0.03499999999999996,0.04550000000000001,0.0700000000000001,3990.0,3945.0,0.050000000000000044,2.3600000000000043
2014-09-26,2014-09-22,t10,0.1200000000000001,0.04550000000000001,0.0700000000000001,4015.0,3965.0,2.3,227.35999999999999
2014-09-26,2014-09-22,t1236,0.1200000000000001,0.04550000000000001,0.0700000000000001,4000.0,3950.0,1.4000000000000004,137.36000000000004
2014-10-03,2014-09-29,t10,0.07999999999999971,0.0465,0.07750000000000008,3970.0,3920.0,4.4,437.36000000000007
2014-10-03,2014-09-29,t1236,0.07999999999999971,0.0465,0.07750000000000008,3950.0,3905.0,2.9000000000000004,287.36000000000007
2014-10-10,2014-10-06,t10,0.12999999999999973,0.0465,0.07999999999999999,3940.0,3875.0,2.5999999999999996,-6242.64
2014-10-10,2014-10-06,t1236,0.12999999999999973,0.0465,0.07999999999999999,3920.0,3875.0,1.0,-4402.64
2014-10-24,2014-10-20,t10,0.10999999999999979,0.04699999999999999,0.08250000000000005,3715.0,3650.0,4.6,457.35999999999996
2014-10-24,2014-10-20,t1236,0.10999999999999979,0.04699999999999999,0.08250000000000005,3690.0,3635.0,2.8999999999999995,287.35999999999996
2014-10-31,2014-10-27,t10,0.16000000000000014,0.049999999999999954,0.08749999999999994,3930.0,3865.0,3.7,367.36
2014-10-31,2014-10-27,t1236,0.16000000000000014,0.049999999999999954,0.08749999999999994,3905.0,3845.0,1.6000000000000005,157.36000000000007
2014-11-07,2014-11-03,t10,0.04499999999999993,0.04999999999999999,0.08999999999999994,4045.0,3975.0,1.25,122.36
2014-11-07,2014-11-03,t1236,0.04499999999999993,0.04999999999999999,0.08999999999999994,4020.0,3955.0,0.10000000000000009,7.360000000000008
2014-11-14,2014-11-10,t10,0.02999999999999998,0.049999999999999954,0.08999999999999994,4050.0,3980.0,0.44999999999999996,42.35999999999999
2014-12-05,2014-12-01,t10,0.1,0.049999999999999954,0.08999999999999994,4235.0,4170.0,2.3,227.35999999999999
2014-12-05,2014-12-01,t1236,0.1,0.049999999999999954,0.08999999999999994,4210.0,4150.0,0.39999999999999947,37.35999999999994
2015-01-09,2015-01-05,t10,0.17999999999999972,0.04999999999999999,0.09249999999999999,4125.0,4050.0,7.9,787.36
2015-01-09,2015-01-05,t1236,0.17999999999999972,0.04999999999999999,0.09249999999999999,4100.0,4050.0,3.8000000000000007,377.36000000000007
2015-01-23,2015-01-20,t10,0.15,0.05700000000000001,0.09749999999999998,4025.0,3950.0,3.3,327.36
2015-01-23,2015-01-20,t1236,0.15,0.05700000000000001,0.09749999999999998,4000.0,3940.0,0.8000000000000003,77.36000000000003
2015-01-30,2015-01-26,t10,0.10999999999999979,0.05700000000000001,0.09749999999999998,4160.0,4085.0,4.1000000000000005,-749.622421875
2015-01-30,2015-01-26,t1236,0.10999999999999979,0.05700000000000001,0.09749999999999998,4130.0,4065.0,1.9000000000000004,187.36000000000004
2015-02-06,2015-02-02,t10,0.18000000000000008,0.05700000000000001,0.09749999999999998,4025.0,3950.0,5.799999999999999,577.3599999999999
2015-02-06,2015-02-02,t1236,0.18000000000000008,0.05700000000000001,0.09749999999999998,3990.0,3925.0,1.9000000000000004,187.36000000000004
2015-02-13,2015-02-09,t10,0.08999999999999994,0.06000000000000001,0.1,4100.0,4020.0,2.9999999999999996,297.35999999999996
2015-02-13,2015-02-09,t1236,0.08999999999999994,0.06000000000000001,0.1,4070.0,4000.0,0.9500000000000002,92.36000000000001
2015-03-13,2015-03-09,t10,0.04999999999999982,0.06000000000000001,0.1,4280.0,4205.0,0.8999999999999995,87.35999999999994
2015-03-27,2015-03-23,t10,0.050000000000000044,0.06000000000000001,0.1,4335.0,4260.0,0.45000000000000007,-171.65367187499996
2015-04-10,2015-04-06,t10,0.06999999999999992,0.06000000000000001,0.1,4190.0,4110.0,1.6,157.36
2015-04-10,2015-04-06,t1236,0.06999999999999992,0.06000000000000001,0.1,4160.0,4090.0,0.6500000000000001,62.360000000000014
2015-04-24,2015-04-20,t10,-0.04500000000000002,0.06499999999999999,0.1,4225.0,4150.0,0.15000000000000002,12.360000000000001
2015-05-01,2015-04-27,t10,-0.019999999999999973,0.06499999999999999,0.1,4405.0,4325.0,0.3999999999999999,37.35999999999999
2015-05-08,2015-05-04,t10,0.017500000000000005,0.06499999999999999,0.1,4350.0,4260.0,0.20000000000000007,17.360000000000007
2015-05-22,2015-05-18,t10,0.05249999999999999,0.06499999999999999,0.1,4360.0,4275.0,0.7,67.36
2015-05-29,2015-05-26,t10,0.075,0.061,0.1,4400.0,4320.0,1.7500000000000002,172.36000000000004
2015-05-29,2015-05-26,t1236,0.075,0.061,0.1,4370.0,4300.0,0.25,22.36
2015-06-05,2015-06-01,t10,0.1299999999999999,0.061,0.09624999999999995,4380.0,4300.0,1.5999999999999996,157.35999999999999
2015-06-05,2015-06-01,t1236,0.1299999999999999,0.061,0.09624999999999995,4350.0,4280.0,0.5500000000000003,52.36000000000003
2015-06-12,2015-06-08,t10,0.075,0.061,0.1,4350.0,4275.0,1.75,172.36
2015-07-03,2015-06-29,t10,0.1549999999999999,0.061,0.09624999999999995,4360.0,4290.0,4.3999999999999995,437.35999999999996
2015-07-03,2015-06-29,t1236,0.1549999999999999,0.061,0.09624999999999995,4330.0,4260.0,2.4999999999999996,247.35999999999996
2015-07-10,2015-07-06,t10,0.09000000000000022,0.06749999999999995,0.1,4310.0,4240.0,2.4000000000000004,237.36000000000004
2015-07-10,2015-07-06,t1236,0.09000000000000022,0.06749999999999995,0.1,4280.0,4220.0,1.35,132.36
2015-07-24,2015-07-20,t10,0.05,0.06999999999999992,0.1,4535.0,4455.0,0.3500000000000001,32.36000000000001
2015-07-31,2015-07-27,t10,0.10999999999999979,0.06999999999999992,0.1,4430.0,4350.0,3.3,327.36
2015-07-31,2015-07-27,t1236,0.10999999999999979,0.06999999999999992,0.1,4400.0,4325.0,1.7999999999999998,177.35999999999999
2015-08-14,2015-08-10,t10,0.007499999999999995,0.06749999999999995,0.1,4390.0,4310.0,0.10000000000000009,7.360000000000008
2015-09-04,2015-08-31,t10,0.13999999999999985,0.05874999999999999,0.1,4150.0,4040.0,9.899999999999999,987.3599999999999
2015-09-04,2015-08-31,t1236,0.13999999999999985,0.05874999999999999,0.1,4110.0,4010.0,6.299999999999999,627.3599999999999
2015-09-25,2015-09-21,t10,0.0375,0.06749999999999995,0.10749999999999985,4150.0,4040.0,1.5000000000000002,147.36000000000004
2015-09-25,2015-09-21,t1236,0.0375,0.06749999999999995,0.10749999999999985,4110.0,4010.0,0.5999999999999999,57.359999999999985
2015-10-02,2015-09-28,t10,0.2049999999999997,0.05874999999999999,0.10749999999999985,4050.0,3940.0,10.2,1017.3599999999999
2015-10-02,2015-09-28,t1236,0.2049999999999997,0.05874999999999999,0.10749999999999985,4010.0,3910.0,5.4,537.36
2015-10-09,2015-10-05,t10,0.03500000000000001,0.06749999999999995,0.10999999999999979,4090.0,3975.0,1.0,97.36
2015-10-09,2015-10-05,t1236,0.03500000000000001,0.06749999999999995,0.10999999999999979,4050.0,3950.0,0.3500000000000001,32.36000000000001
2015-10-23,2015-10-19,t10,0.019999999999999997,0.06749999999999995,0.10999999999999979,4270.0,4160.0,0.9000000000000001,87.36000000000001
2015-10-23,2015-10-19,t1236,0.019999999999999997,0.06749999999999995,0.10999999999999979,4230.0,4140.0,0.29999999999999993,27.359999999999992
