week_end,entry,short_k,wing_k,width,credit,settle,pnl,vix,gap_below_trigger
2012-06-08,2012-06-04,1235.0,1185.0,50.0,1.8499999999999999,1325.6600341796875,182.36,26.350000381469727,False
2012-06-22,2012-06-18,1300.0,1250.0,50.0,2.05,1335.02001953125,202.35999999999999,21.76000022888184,False
2012-07-06,2012-07-02,1320.0,1270.0,50.0,0.5,1354.6800537109375,47.36,17.6200008392334,False
2012-07-13,2012-07-09,1315.0,1265.0,50.0,1.45,1356.780029296875,142.36,18.170000076293945,False
2012-07-27,2012-07-23,1320.0,1270.0,50.0,4.5,1385.969970703125,447.36,20.40999984741211,False
2012-08-03,2012-07-30,1345.0,1295.0,50.0,1.3,1390.989990234375,127.36,17.549999237060547,False
2012-08-10,2012-08-06,1350.0,1300.0,50.0,0.30000000000000004,1405.8699951171875,27.360000000000003,15.850000381469728,False
2012-08-24,2012-08-20,1380.0,1330.0,50.0,0.5499999999999999,1411.1300048828125,52.35999999999999,14.109999656677246,False
2012-08-31,2012-08-27,1375.0,1325.0,50.0,0.6499999999999999,1406.5799560546875,62.359999999999985,16.149999618530273,False
2012-09-07,2012-09-04,1370.0,1320.0,50.0,0.8499999999999999,1437.9200439453125,82.35999999999999,18.649999618530277,False
2012-09-14,2012-09-10,1400.0,1350.0,50.0,0.8999999999999999,1465.77001953125,87.35999999999999,14.270000457763672,False
2012-10-12,2012-10-08,1425.0,1375.0,50.0,1.0,1428.5899658203125,97.36,15.1899995803833,False
2012-10-26,2012-10-22,1395.0,1345.0,50.0,1.35,1411.93994140625,132.36,17.440000534057617,False
2012-11-02,2012-10-31,1375.0,1325.0,50.0,0.35,1414.199951171875,32.36,17.68000030517578,False
2012-11-09,2012-11-05,1380.0,1330.0,50.0,3.4499999999999997,1379.8499755859375,327.35755859375,18.32999992370605,False
2012-11-23,2012-11-19,1320.0,1270.0,50.0,0.1,1409.1500244140625,7.359999999999999,15.880000114440918,False
2012-11-30,2012-11-26,1370.0,1320.0,50.0,1.3,1416.1800537109375,127.36,15.630000114440918,False
2012-12-07,2012-12-03,1380.0,1330.0,50.0,1.0999999999999999,1418.0699462890625,107.35999999999999,15.8100004196167,False
2012-12-14,2012-12-10,1380.0,1330.0,50.0,1.05,1413.5799560546875,102.36,16.469999313354492,False
2012-12-28,2012-12-24,1395.0,1345.0,50.0,2.05,1402.4300537109375,202.35999999999999,18.459999084472656,False
2013-01-04,2012-12-31,1365.0,1315.0,50.0,3.4499999999999997,1466.469970703125,342.36,22.13999938964844,False
2013-01-11,2013-01-07,1430.0,1380.0,50.0,0.95,1472.050048828125,92.36,14.529999732971191,False
2013-01-25,2013-01-22,1450.0,1400.0,50.0,0.25,1502.9599609375,22.36,13.279999732971191,False
2013-02-01,2013-01-28,1470.0,1420.0,50.0,0.8,1513.1700439453125,77.36,13.289999961853027,False
2013-02-08,2013-02-04,1480.0,1430.0,50.0,0.8500000000000001,1517.9300537109375,82.36000000000001,14.0,False
2013-02-22,2013-02-19,1490.0,1440.0,50.0,0.3,1515.5999755859375,27.36,12.8100004196167,False
2013-03-01,2013-02-25,1485.0,1435.0,50.0,0.95,1518.199951171875,92.36,13.6899995803833,False
